28622423,08/05/2014 12:00:00 AM,08/08/2014 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Other (Explain Below),11221,KOSCIUSZKO STREET,KOSCIUSZKO STREET,MALCOLM X BOULEVARD,BROADWAY,,,BLOCKFACE,BROOKLYN,,N/A,Closed,09/04/2014 09:31:07 AM,08/08/2014 12:00:00 AM,Unspecified BROOKLYN,BROOKLYN,1003703,191799,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.6930993424506,-73.92985094252434,"(40.6930993424506, -73.92985094252434)"
28622448,08/05/2014 12:00:00 AM,06/16/2014 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,11237,315 HARMAN STREET,HARMAN STREET,KNICKERBOCKER AVENUE,IRVING AVENUE,,,ADDRESS,BROOKLYN,,N/A,Pending,09/04/2014 09:53:06 PM,08/05/2014 10:01:47 PM,04 BROOKLYN,BROOKLYN,1006843,194417,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.700277681727684,-73.91851907857439,"(40.700277681727684, -73.91851907857439)"
28622611,08/05/2014 12:00:00 AM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,10025,785 WEST END AVENUE,WEST END AVENUE,WEST END AVENUE,RIVERSIDE DRIVE,,,ADDRESS,NEW YORK,,N/A,Assigned,09/04/2014 12:13:50 PM,08/05/2014 12:22:52 PM,07 MANHATTAN,MANHATTAN,991869,229560,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.79676191498184,-73.97248250234973,"(40.79676191498184, -73.97248250234973)"
28622612,08/05/2014 12:00:00 AM,07/16/2014 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Mixed Use Building,11223,2316 OCEAN PARKWAY,OCEAN PARKWAY,AVENUE W,LANCASTER AVENUE,,,ADDRESS,BROOKLYN,,N/A,Pending,09/04/2014 09:24:30 AM,08/05/2014 09:32:57 AM,15 BROOKLYN,BROOKLYN,994043,155285,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.592892243326865,-73.9647386646857,"(40.592892243326865, -73.9647386646857)"
28622619,08/05/2014 12:00:00 AM,08/07/2014 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Other (Explain Below),10031,749 ST NICHOLAS AVENUE,ST NICHOLAS AVENUE,WEST 147 STREET,WEST 148 STREET,,,ADDRESS,NEW YORK,,N/A,Closed,09/04/2014 12:11:44 PM,08/07/2014 12:00:00 AM,09 MANHATTAN,MANHATTAN,999867,240099,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.825678018360826,-73.9435716587462,"(40.825678018360826, -73.9435716587462)"
28623338,08/05/2014 12:00:00 AM,08/19/2014 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Other (Explain Below),10301,,,,,LITTLE CLOVE ROAD,SENECA AVENUE,INTERSECTION,STATEN ISLAND,,N/A,Closed,09/04/2014 11:29:46 AM,08/19/2014 12:00:00 AM,01 STATEN ISLAND,STATEN ISLAND,956093,161856,Unspecified,STATEN ISLAND,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.61088897696744,-74.10141134180272,"(40.61088897696744, -74.10141134180272)"
28623404,08/05/2014 12:00:00 AM,10/06/2014 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Commercial Building,11211,FROST STREET,FROST STREET,MANHATTAN AVENUE,GRAHAM AVENUE,,,BLOCKFACE,BROOKLYN,,N/A,Closed,09/04/2014 11:45:17 PM,10/06/2014 12:00:00 AM,Unspecified BROOKLYN,BROOKLYN,999271,200863,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.71798651368979,-73.94581286152908,"(40.71798651368979, -73.94581286152908)"
28623407,08/05/2014 12:00:00 AM,08/05/2014 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,10030,203 WEST 140 STREET,WEST 140 STREET,7 AVENUE,8 AVENUE,,,ADDRESS,NEW YORK,,N/A,Closed,09/04/2014 12:24:22 PM,08/05/2014 12:32:50 PM,10 MANHATTAN,MANHATTAN,1000327,237558,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.818702868509924,-73.94191564584195,"(40.818702868509924, -73.94191564584195)"
28623467,08/05/2014 12:00:00 AM,08/07/2014 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,1-2 Family Dwelling,10466,4352 WILDER AVENUE,WILDER AVENUE,PITMAN AVENUE,NEREID AVENUE,,,ADDRESS,BRONX,,N/A,Closed,09/04/2014 12:17:15 PM,08/07/2014 12:00:00 AM,12 BRONX,BRONX,1027414,266630,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.8984058279285,-73.84386635607056,"(40.8984058279285, -73.84386635607056)"
28623471,08/05/2014 12:00:00 AM,08/15/2014 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,1-2 Family Dwelling,11419,94-20 109 STREET,109 STREET,ATLANTIC AVENUE,95 AVENUE,,,ADDRESS,South Richmond Hill,,N/A,Closed,09/04/2014 04:44:05 PM,08/15/2014 12:00:00 AM,09 QUEENS,QUEENS,1029601,191137,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.69118749101976,-73.83646531673176,"(40.69118749101976, -73.83646531673176)"
28623474,08/05/2014 12:00:00 AM,06/16/2014 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,11237,293 HARMAN STREET,HARMAN STREET,KNICKERBOCKER AVENUE,IRVING AVENUE,,,ADDRESS,BROOKLYN,,N/A,Pending,09/04/2014 12:35:24 PM,08/05/2014 12:50:11 PM,04 BROOKLYN,BROOKLYN,1006756,194300,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.699956765903536,-73.91883323205256,"(40.699956765903536, -73.91883323205256)"
28623475,08/05/2014 12:00:00 AM,08/11/2014 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Mixed Use Building,10003,127 2 AVENUE,2 AVENUE,EAST 7 STREET,ST MARKS PLACE,,,ADDRESS,NEW YORK,,N/A,Closed,09/04/2014 11:27:32 PM,08/11/2014 12:00:00 AM,03 MANHATTAN,MANHATTAN,987617,204638,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.728360086111735,-73.98785190829656,"(40.728360086111735, -73.98785190829656)"
28623476,08/05/2014 12:00:00 AM,08/13/2014 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Other (Explain Below),11385,1811 CENTRE STREET,CENTRE STREET,SENECA AVENUE,MYRTLE AVENUE,,,ADDRESS,Ridgewood,,N/A,Closed,09/04/2014 11:38:18 AM,08/13/2014 12:00:00 AM,05 QUEENS,QUEENS,1011405,194244,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.699790014209725,-73.90206708369094,"(40.699790014209725, -73.90206708369094)"
28623582,08/05/2014 12:00:00 AM,08/07/2014 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,10457,718 GARDEN STREET,GARDEN STREET,CROTONA AVENUE,PROSPECT AVENUE,,,ADDRESS,BRONX,,N/A,Closed,09/04/2014 06:45:46 PM,08/07/2014 12:00:00 AM,06 BRONX,BRONX,1015982,249172,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.85053755498778,-73.88530103583568,"(40.85053755498778, -73.88530103583568)"
28623593,08/05/2014 12:00:00 AM,08/14/2014 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Commercial Building,10011,140 WEST 13 STREET,WEST 13 STREET,AVENUE OF THE AMERICAS,7 AVENUE,,,ADDRESS,NEW YORK,,N/A,Closed,09/04/2014 10:14:53 AM,08/14/2014 12:00:00 AM,02 MANHATTAN,MANHATTAN,984642,207852,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.737182358685516,-73.99858548189518,"(40.737182358685516, -73.99858548189518)"
28624399,08/05/2014 12:00:00 AM,06/16/2014 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,11237,198 IRVING AVENUE,IRVING AVENUE,HIMROD STREET,HARMAN STREET,,,ADDRESS,BROOKLYN,,N/A,Pending,09/04/2014 10:27:19 PM,06/16/2014 12:00:00 AM,04 BROOKLYN,BROOKLYN,1006878,194786,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.701290410533055,-73.91839161248,"(40.701290410533055, -73.91839161248)"
