31320111,08/15/2015 12:00:00 AM,08/17/2015 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Other (Explain Below),10009,425 EAST 10TH STREET,EAST 10TH STREET,,,,,LATLONG,NEW YORK,,N/A,Closed,09/14/2015 09:38:18 PM,08/17/2015 12:00:00 AM,Unspecified MANHATTAN,MANHATTAN,990966,203498,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.7252291549459,-73.97576989853705,"(40.7252291549459, -73.97576989853705)"
31320112,08/15/2015 12:00:00 AM,08/21/2015 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,10036,455 WEST   47 STREET,WEST   47 STREET,9 AVENUE,10 AVENUE,,,ADDRESS,NEW YORK,,N/A,Closed,09/14/2015 05:55:10 PM,08/21/2015 12:00:00 AM,04 MANHATTAN,MANHATTAN,986513,216988,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.76225809335628,-73.99183097035153,"(40.76225809335628, -73.99183097035153)"
31320114,08/15/2015 12:00:00 AM,07/08/2015 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,1-2 Family Dwelling,11104,39-07 48 AVENUE,48 AVENUE,39 STREET,39 PLACE,,,ADDRESS,Sunnyside,,N/A,Pending,09/14/2015 10:58:31 AM,08/15/2015 11:00:55 AM,02 QUEENS,QUEENS,1004589,208941,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.74014801489863,-73.92660416407986,"(40.74014801489863, -73.92660416407986)"
31320748,08/16/2015 02:07:51 AM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Mixed Use Building,10453,2016 DAVIDSON AVENUE,DAVIDSON AVENUE,WEST TREMONT AVENUE,WEST BURNSIDE AVENUE,,,ADDRESS,BRONX,,N/A,Pending,09/15/2015 02:07:51 AM,09/06/2015 04:15:43 AM,05 BRONX,BRONX,1009391,250105,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.85311958902874,-73.90912144540688,"(40.85311958902874, -73.90912144540688)"
31320870,08/15/2015 12:00:00 AM,08/07/2015 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,10009,411 EAST 10TH STREET,EAST 10TH STREET,,,,,LATLONG,NEW YORK,,N/A,Pending,09/14/2015 09:36:33 PM,08/15/2015 09:40:09 PM,Unspecified MANHATTAN,MANHATTAN,990775,203732,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.72587157102393,-73.97645876473963,"(40.72587157102393, -73.97645876473963)"
31320871,08/15/2015 12:00:00 AM,08/20/2015 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,10467,104 EAST  208 STREET,EAST  208 STREET,STEUBEN AVENUE,ROCHAMBEAU AVENUE,,,ADDRESS,BRONX,,N/A,Closed,09/14/2015 05:21:03 PM,08/20/2015 12:00:00 AM,07 BRONX,BRONX,1017113,259225,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.87812583316897,-73.88116361461323,"(40.87812583316897, -73.88116361461323)"
31320925,08/15/2015 12:00:00 AM,08/12/2015 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,1-2 Family Dwelling,10467,2535 MATTHEWS AVE,MATTHEWS AVE,,,,,LATLONG,BRONX,,N/A,Pending,09/14/2015 10:27:23 PM,08/15/2015 10:30:09 PM,Unspecified BRONX,BRONX,1022165,254132,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.86412686742062,-73.86292384930321,"(40.86412686742062, -73.86292384930321)"
31320983,08/15/2015 12:00:00 AM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,10031,510 WEST  152 STREET,WEST  152 STREET,AMSTERDAM AVENUE,BROADWAY,,,ADDRESS,NEW YORK,,N/A,Assigned,09/14/2015 02:30:02 AM,08/15/2015 02:33:44 AM,09 MANHATTAN,MANHATTAN,999472,241637,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.829900078022675,-73.94499540806893,"(40.829900078022675, -73.94499540806893)"
31320993,08/15/2015 12:00:00 AM,06/30/2015 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Other (Explain Below),10128,200 EAST   87 STREET,EAST   87 STREET,3 AVENUE,2 AVENUE,,,ADDRESS,NEW YORK,,N/A,Pending,09/14/2015 12:30:17 PM,08/15/2015 12:32:46 PM,08 MANHATTAN,MANHATTAN,997222,223218,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.77934858978226,-73.95316135414895,"(40.77934858978226, -73.95316135414895)"
31321672,08/16/2015 12:00:00 AM,09/04/2015 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Vacant Lot,11208,653 LINWOOD STREET,LINWOOD STREET,,,,,LATLONG,BROOKLYN,,N/A,Closed,09/15/2015 04:40:55 PM,09/04/2015 12:00:00 AM,Unspecified BROOKLYN,BROOKLYN,1017222,183123,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.669245674720976,-73.88114285738875,"(40.669245674720976, -73.88114285738875)"
